datetime,open,high,low,close,volume
2021-08-25 00:00:00+00:00,40618.71,41843.68,40137.0,41618.04,806.74695594
2021-08-26 00:00:00+00:00,41606.15,41945.82,39420.0,39881.0,1961.81299702
2021-08-27 00:00:00+00:00,39865.09,41700.0,39463.7,41610.4,997.22214555
2021-08-28 00:00:00+00:00,41579.02,41795.59,41007.18,41454.56,386.96652022
2021-08-29 00:00:00+00:00,41468.99,42064.8,40548.08,41374.53,519.82363868
2021-08-30 00:00:00+00:00,41368.78,41462.2,39754.1,39864.13,902.91969849
2021-08-31 00:00:00+00:00,39829.3,40800.0,39592.56,39913.0,954.54419021
2021-09-01 00:00:00+00:00,39900.91,41460.0,39413.66,41243.36,850.05069496
2021-09-02 00:00:00+00:00,41235.7,42510.29,41056.49,41525.77,1284.31590461
2021-09-03 00:00:00+00:00,41482.63,42949.99,40716.8,42093.85,1171.3215512
